base_name,Record Id,Product Owner.id,Product Owner,Product Name,Product Code,Vendor Name.id,Vendor Name,Product Active,Manufacturer,Product Category,Created By.id,Created By,Modified By.id,Modified By,Created Time,Modified Time,Unit Price,Commission Rate,Usage Unit,Qty Ordered,Quantity in Stock,Reorder Level,Handler.id,Handler,Quantity in Demand,Description,Tag,Inventory,Locked,Last Activity Time,Product Sub Category,Color/Finish,Ususal Price,Channel Price,OEM Price,TMS %,Deal Price,BOM MU Check,Ship Mode,Total Weight,Installation Mode,Product Type,CRM ID,Connected To.module,Connected To.id,Tax Rate
Aaron Bookshelf,zcrm_4301492000069868969,zcrm_4301492000066416001,Suraj Patel,Aaron Bookshelf,SB-AA,zcrm_4301492000003548093,Bluewud India,True,Bluewud,Bookshelf,zcrm_4301492000066416001,Suraj Patel,zcrm_4301492000000425001,Ankita Singh,2025-08-22 16:49:00,2025-09-18 14:42:38,1199.0,0.0,Box,0,0,0,,,0,,,,False,2025-09-18 14:42:38,,Wenge,609.0,339.0,0.0,0.0,0.0,,,1640.0,,Parent,3961202000000706015,,,
Adaly Dressing Table,zcrm_4301492000069868349,zcrm_4301492000066416001,Suraj Patel,Adaly Dressing Table Wenge,RT-ALY-W,zcrm_4301492000003548093,Bluewud India,True,Bluewud,Dressing Table,zcrm_4301492000066416001,Suraj Patel,zcrm_4301492000000425001,Ankita Singh,2025-08-22 16:48:57,2025-09-19 11:38:48,9999.0,0.0,Box,0,0,0,,,0,,,,False,2025-09-19 11:38:48,,Wenge,6299.0,6341.0,0.0,0.0,0.0,,,24450.0,,Child,3961202000000709103,,,
Adonis 2 Door Shoe Rack,zcrm_4301492000069868950,zcrm_4301492000066416001,Suraj Patel,Adonis 2 Door Shoe Rack,SR-ADS-2,zcrm_4301492000003548093,Bluewud India,True,Bluewud,Shoe Rack,zcrm_4301492000066416001,Suraj Patel,zcrm_4301492000000425001,Ankita Singh,2025-08-22 16:49:00,2025-09-18 14:43:35,,,Box,0,0,0,,,0,,,,False,2025-09-18 14:43:35,,,,,,,,,,,,Parent,3961202000000705007,,,
Adora Wall Shelve,zcrm_4301492000069868941,zcrm_4301492000066416001,Suraj Patel,Adora Wall Shelve,S-AO,zcrm_4301492000003548093,Bluewud India,True,Bluewud,Wall Shelve,zcrm_4301492000066416001,Suraj Patel,zcrm_4301492000000425001,Ankita Singh,2025-08-22 16:49:00,2025-09-18 14:43:35,2799.0,0.0,Box,0,0,0,,,0,"This wall d̩cor and corner shelf come with its unique design that fits perfectly on the walls of your home as well as your office. It has multi tiring shelves rack spaces to keep your special antique or showpiece items. The intact structure of this wall mount shelf helps in its proper fitting of your walls. The dimensions of the shelf are spacious for placing your decorative items or even your favourite novels. The attractive design and structure of the shelf have been a result of proper architectural research done on the dimensions of the Indian Styled houses, such that it fits perfectly in any and every home and best fits as a living room shelf. The look of the shelf will give a unique perspective to your living room, bedroom, dining room and your office too. Additionally, the shelf is an easy-to-assemble decorative furniture item which can be mounted on your wall within a few minutes.",,,False,2025-09-18 14:43:35,,Wenge,1599.0,1080.0,0.0,0.0,0.0,,,5850.0,,Parent,3961202000000703055,,,
Aero Large TV Unit,zcrm_4301492000069868769,zcrm_4301492000066416001,Suraj Patel,Aero Large TV Unit Brown Maple,TU-ARO-LAM,zcrm_4301492000003548093,Bluewud India,True,Bluewud,TV Unit,zcrm_4301492000066416001,Suraj Patel,zcrm_4301492000000425001,Ankita Singh,2025-08-22 16:49:00,2025-09-19 11:38:48,2199.0,0.0,Box,0,0,0,,,0,,,,False,2025-09-19 11:38:48,Wall Mount TV Unit,Brown Maple,1699.0,1167.0,0.0,0.0,0.0,,,6000.0,,Child,3961202000000715051,,,
Alaire Wall Shelve,zcrm_4301492000069868947,zcrm_4301492000066416001,Suraj Patel,Alaire Wall Shelve,S-AI,zcrm_4301492000003548093,Bluewud India,True,Bluewud,Wall Shelves,zcrm_4301492000066416001,Suraj Patel,zcrm_4301492000000425001,Ankita Singh,2025-08-22 16:49:00,2025-09-18 14:43:35,2099.0,0.0,Box,0,0,0,,,0,,,,False,2025-09-18 14:43:35,,Wenge,1209.0,751.0,0.0,0.0,0.0,,,3890.0,,Parent,3961202000000715003,,,
Alba Wall Shelve,zcrm_4301492000069868943,zcrm_4301492000066416001,Suraj Patel,Alba Wall Shelve,S-AB,zcrm_4301492000003548093,Bluewud India,True,Bluewud,Wall Shelve,zcrm_4301492000066416001,Suraj Patel,zcrm_4301492000000425001,Ankita Singh,2025-08-22 16:49:00,2025-09-18 14:43:35,3299.0,0.0,Box,0,0,0,,,0,,,,False,2025-09-18 14:43:35,,Wenge,1799.0,1382.0,0.0,0.0,0.0,,,5890.0,,Parent,3961202000000710031,,,
Albert Wall Shelve,zcrm_4301492000069868309,zcrm_4301492000066416001,Suraj Patel,Albert Wall Shelve Wenge,S-AE-W6,zcrm_4301492000003548093,Bluewud India,True,Bluewud,Wall Shelves,zcrm_4301492000066416001,Suraj Patel,zcrm_4301492000000425001,Ankita Singh,2025-08-22 16:48:57,2025-09-19 11:38:48,7999.0,0.0,Box,0,0,0,,,0,,,,False,2025-09-19 11:38:48,,Wenge,3799.0,3607.0,0.0,0.0,0.0,,,13620.0,,Child,3961202000000712115,,,
Alesti Dressing Table,zcrm_4301492000069868408,zcrm_4301492000066416001,Suraj Patel,Alesti Dressing Table Wenge,RT-AT-W,zcrm_4301492000003548093,Bluewud India,True,Bluewud,Dressing Table,zcrm_4301492000066416001,Suraj Patel,zcrm_4301492000000425001,Ankita Singh,2025-08-22 16:48:57,2025-09-19 11:38:48,7299.0,0.0,Box,0,0,0,,,0,,,,False,2025-09-19 11:38:48,,Wenge,4449.0,3962.0,0.0,0.0,0.0,,,17400.0,,Child,3961202000000717067,,,
Alex 4-Layer Bookshelf,zcrm_4301492000069868956,zcrm_4301492000066416001,Suraj Patel,Alex 4-Layer Bookshelf,SB-AXA-4,zcrm_4301492000003548093,Bluewud India,True,Bluewud,Bookshelf,zcrm_4301492000066416001,Suraj Patel,zcrm_4301492000000425001,Ankita Singh,2025-08-22 16:49:00,2025-09-18 14:42:38,9299.0,0.0,Box,0,0,0,,,0,,,,False,2025-09-18 14:42:38,,Brown Maple,5199.0,4775.0,0.0,0.0,0.0,,,25790.0,,Parent,3961202000000716003,,,
